,match_time_bm,away_player,home_player,odds_away_bm,odds_home_bm,spread_away_bm,spread_home_bm,away_decimal_odds_bm,home_decimal_odds_bm,match_time_bto,odds_away_bto,odds_home_bto,spread_away_bto,spread_home_bto,away_decimal_odds_bto,home_decimal_odds_bto,away_decimal_odds_pin,home_decimal_odds_pin,best_book_away,best_away,best_book_home,best_home,cum_prob,cum_prob_spread,best_spread_away,best_spread_home,best_book_away_spread,best_book_home_spread,log_time,tournament_flg
282483,,bryson dechambeau,harris english,,,,,,,2021-05-14T17:44:01Z,-175.0,145.0,-137.0,105.0,1.5714285714285714,2.45,,,BTO,1.5714285714285714,BTO,2.45,1.0445269016697587,,1.72992700729927,2.05,BTO,BTO,2021-05-14 02:23:12.220222,round
282484,,sam burns,ryan palmer,,,,,,,2021-05-14T17:44:01Z,-115.0,-105.0,104.0,-135.0,1.8695652173913042,1.9523809523809523,,,BTO,1.8695652173913042,BTO,1.9523809523809523,1.0470788428814521,,2.04,1.7407407407407407,BTO,BTO,2021-05-14 02:23:12.220222,round
282485,,andrew putnam,russell knox,,,,,,,2021-05-14T17:55:01Z,109.0,-130.0,-120.0,-110.0,2.09,1.7692307692307692,,,BTO,2.09,BTO,1.7692307692307692,1.043686290825879,,1.8333333333333335,1.9090909090909092,BTO,BTO,2021-05-14 02:23:12.220222,round
282486,,sebastian munoz,troy merritt,,,,,,,2021-05-14T18:06:01Z,-145.0,121.0,-122.0,-108.0,1.6896551724137931,2.21,,,BTO,1.6896551724137931,BTO,2.21,1.044325422476683,,1.819672131147541,1.925925925925926,BTO,BTO,2021-05-14 02:23:12.220222,round
282487,,carlos ortiz,scott piercy,,,,,,,2021-05-14T18:06:01Z,-175.0,145.0,-140.0,108.0,1.5714285714285714,2.45,,,BTO,1.5714285714285714,BTO,2.45,1.0445269016697587,,1.7142857142857144,2.08,BTO,BTO,2021-05-14 02:23:12.220222,round
282488,,keith mitchell,brandt snedeker,,,,,,,2021-05-14T18:17:01Z,-110.0,-110.0,108.0,-140.0,1.9090909090909092,1.9090909090909092,,,BTO,1.9090909090909092,BTO,1.9090909090909092,1.0476190476190477,,2.08,1.7142857142857144,BTO,BTO,2021-05-14 02:23:12.220222,round
282489,,jhonattan vegas,adam schenk,,,,,,,2021-05-14T18:39:01Z,-130.0,109.0,-110.0,-120.0,1.7692307692307692,2.09,,,BTO,1.7692307692307692,BTO,2.09,1.043686290825879,,1.9090909090909092,1.8333333333333335,BTO,BTO,2021-05-14 02:23:12.220222,round
282490,05/1411:50,alex noren,talor gooch,-116.0,-114.0,-0.5+114,+0.5-144,1.8620689655172413,1.8771929824561404,2021-05-14T18:50:01Z,-110.0,-110.0,108.0,-140.0,1.9090909090909092,1.9090909090909092,,,BTO,1.9090909090909092,BTO,1.9090909090909092,1.0476190476190477,1.0506230529595015,2.1399999999999997,1.7142857142857144,BM,BTO,2021-05-14 02:23:12.220222,round
282491,,robert macintyre,the field,,,,,,,2021-05-14T07:30:01Z,325.0,-410.0,,,4.25,1.2439024390243902,,,BTO,4.25,BTO,1.2439024390243902,1.0392156862745099,,,,,,2021-05-14 02:23:12.220222,tournament
282492,,macintyre / hill,the field,,,,,,,2021-05-14T07:30:01Z,185.0,-235.0,,,2.85,1.425531914893617,,,BTO,2.85,BTO,1.425531914893617,1.052369730295889,,,,,,2021-05-14 02:23:12.220222,tournament
